dialect,difficulty,example,wer_pct,reference,prediction
tangail,easy,1,30.0,তো আমার মনে হয় এইটা একটা মানে এই মুভিগুলা দেখতে দেখলে ভাল্লাগবে আশা করি সো এইখানেই আমি রেকর্ডিং স্টপ করছি,তো আমার মনে হয় এটা একটা মানে এই মুভিগুলা দেখতে দে দেখলে ভালো লাগবে আশা করি তো এইখানে আমি রেকর্ডিং স্টপ করছি
tangail,easy,2,50.0,সেও আসলে ধার দ্যানা অনেক হইয়া গেছে পরে এই সবাই সিদ্ধান্ত নেয় যে শিউলিরে মানে নায়িকারে মানে বানিতারে হাসপাতাল থিকা বাসায় স্থানান্তর করা অবো,সে আসলে ধার দে না অনেক হয়ে গেছে ফরে এই সবাই সিদ্ধান্ত নেই যে শিউলি মানে নাইকা মানে বানি তার তে হাসপাতাল থিকা বাসায় স্থানান্তর করা হবো
tangail,easy,3,62.5,দুইহাজার একসালে রিজিল পায় সেরেনডিপিটি আমার অন্যতম একটা ফেবারেট মুভি কারণ এই মুভিডা একটা লাভ স্টোরি মুভি আর ছবির নায়ক থাকে জোনাথান আর নায়িকা,দুই হাজার এক সালে রিলিজ পাইছে এন্ডিপিটি⁇ আমার অন্যতম একটা ফেবা়কনরি⁇কারণ এই মুভিটা একটা লাস্ট মুভি আর ছবির নায়ক থাকে জোনে থানার নায়িকা
comilla,easy,1,58.3,ওইখানে ওই দিনই ঘটনাটা ওইখানেই সমাপ্ত হইয়া গেছে যদি একটা পুলিশ কেস হইতো তাহলে অবশ্যই তদন্ত হইতো একটা বিষয় আছে যদি তাকটা ছিড়ে যায়,ইখানে ওইখানে ওইদিন ঘটনাটা ওইখানেই সমাপ্তহয়াগেছে⁇ যদি একটা পুলিশকেইছইতো তালে অবশ্যই তদন্ত হইতো একটা গেছি আছে যদি তো
chittagong,hard,1,68.0,তো কলেজর খবর কি কলেজর বাই সেকেন্ড মেরিটত ও আর নাম ন আইয়ে এহন কি গইজজুম বুঝিত নফারির তো আর তুর কি অবস্থা আই আছি,কলেজের খবর টবর কি কলেজের বাই সেকেন্ড মেইট তো আর নাম ন এখন কি বুঝি না ফরে তাখন তোর লাগি অবস্তা আঁই আছি
chittagong,hard,2,84.2,আসসালামু আলাইকুম ওয়া আলাইকুম সালাম কেন আছো আলহামদুলিল্লাহ তুই কেন আছস আলহামদুলিল্লাহ গম আছি তুর আম্মুতারা বেকগুন কেন আছে,আছালামালাইকুম⁇ কেন আলামদললাগতিকেন ছছ⁇হনদলাগামাি তো রে বেগম কেন আছে
chittagong,hard,3,88.9,হ্যালো জ্বি হুনির আঁই চুলা উগগো বুলি গিয়ি হর বুল ইবা কিরিবি আঁইও কিসু ন হই হ্যালো হ্যালো,লো⁇বে⁇নিবাই⁇ হর গরিবি তা টা কিছু ন েলো⁇হেলো⁇
kishoreganj,hard,1,58.8,ছাইরা দেম বাতাস এবার বেশি না না কম বাতাস তো বেতিই বেশি হ ও গরু কিনতাইন না,তালি বাতাস যায় বেশি না না কম বাট তা আছি বেশি বউ কিন্তু না
kishoreganj,hard,2,82.6,নান্দনে কার লাইগ্যা মারছিন এইযে কি না ক আস মারছে ফাতি আস চাইরটা মারছে কালহা মারছে হ চাইরডার দাম আছে কতো অইবো জ্যাডা,নান্দে কার লইয়া মাছে নিজে কি না ক আঁশ মাছে খাতি কালো আছি হছাইতিনামাছে বো⁇লিরা⁇
kishoreganj,hard,3,89.5,কলা কাডল আম কাডল তরমুজ হুম পাবদা লেছু ডাব এইযে না কি বাঙ্গি আনারস হ্যাঁ জাম হুম ফরে হবরি,কলা কাম চাডল⁇তরমু⁇ফাদালে সুডা বানি আনারস যাম⁇হেি
